Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),R,G,B,Timestamp (UTC),Instrument,Instrument group,Text ID,Test No.,Sample comments,Test comments,Result comments
382,U1536,A,1,F,1,A,1,0.01,0.01,97.6,91.2,78.6,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,3,0.03,0.03,99.8,93.5,79.5,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,5,0.05,0.05,99.8,93.6,79.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,7,0.07,0.07,101.9,95.2,80.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,9,0.09,0.089,102.2,95.6,80.8,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,11,0.11,0.109,100.6,94.6,80.6,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,13,0.13,0.129,93.5,88,74.5,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,15,0.15,0.149,94.5,89.2,75.7,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,17,0.17,0.169,97.1,91.2,76.3,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,19,0.19,0.189,96,90.3,75.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,21,0.21,0.209,91,85.1,70.7,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,23,0.23,0.228,93.4,86.5,70.2,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,25,0.25,0.248,93.8,87.3,71.6,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,27,0.27,0.268,96.4,90.9,76.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,29,0.29,0.288,105.6,99.9,85.3,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,31,0.31,0.308,101.7,96,81.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,33,0.33,0.328,100.6,95.1,80.2,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,35,0.35,0.348,98.4,93.6,80.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,37,0.37,0.368,98,92.9,79.2,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,39,0.39,0.387,96.8,91.5,77,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,41,0.41,0.407,97.1,91.5,76.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,43,0.43,0.427,98.5,92.7,77.1,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,45,0.45,0.447,96.9,91.6,76.7,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,47,0.47,0.467,94.8,89.9,76.1,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,49,0.49,0.487,95.1,90.5,77.7,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,51,0.51,0.507,94.1,89.2,74.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,53,0.53,0.526,95,89.3,73.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,55,0.55,0.546,93.6,88.2,73.3,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,57,0.57,0.566,99.3,93.7,78.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,59,0.59,0.586,101.1,95.4,79.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,61,0.61,0.606,101.1,95.4,79.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,63,0.63,0.626,99.9,94.4,79.8,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,65,0.65,0.646,98.1,92.9,78.8,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,67,0.67,0.666,98,93,80,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,69,0.69,0.685,88.3,84.4,73.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,71,0.71,0.705,92.7,88.3,76.5,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,73,0.73,0.725,96.3,91.3,77.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,75,0.75,0.745,101.6,96.3,82.7,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,77,0.77,0.765,97,91.5,77.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,79,0.79,0.785,96.1,91.1,77.5,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,81,0.81,0.805,97.5,92.3,78.3,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,83,0.83,0.824,98.3,93.2,79.3,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,85,0.85,0.844,99.2,94.3,81.1,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,87,0.87,0.864,101.4,96.4,83.2,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,89,0.89,0.884,99.6,94.5,81.1,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,91,0.91,0.904,83.5,79.6,68.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,93,0.93,0.924,85.9,81.9,70.8,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,95,0.95,0.944,99.1,94,80.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,97,0.97,0.964,101.6,96,81.6,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,99,0.99,0.983,99,93.7,79.2,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,101,1.01,1.003,103.6,98.2,83.8,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,103,1.03,1.023,100.6,95.5,81.7,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,105,1.05,1.043,92.2,87.7,75,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,107,1.07,1.063,95,90.1,76.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,109,1.09,1.083,100.2,94.6,80.1,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,111,1.11,1.103,100.2,94.7,80.3,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,113,1.13,1.122,100.9,95.7,82.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,115,1.15,1.142,101.6,96.1,81.6,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,117,1.17,1.162,101,95.5,80.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,119,1.19,1.182,101.9,96.2,81.6,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,121,1.21,1.202,98.6,93,77.9,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,123,1.23,1.222,101.2,95.7,81,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,125,1.25,1.242,105.9,100,84.7,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,127,1.27,1.262,105.6,99.7,84.5,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,129,1.29,1.281,107.5,101.2,86,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,131,1.31,1.301,106.6,100.6,85.8,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,133,1.33,1.321,106.3,100.1,85.1,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,135,1.35,1.341,101.5,96,82,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,137,1.37,1.361,101.4,95.8,81.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,139,1.39,1.381,103.3,97.7,83.3,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,141,1.41,1.401,103.7,98.4,84.5,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,143,1.43,1.42,102.8,97.1,82.4,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,145,1.45,1.44,104.1,98.2,83.2,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,1,A,147,1.47,1.46,101.2,95.7,82.1,4/9/2019 16:55,CV-L107C-L170542B,SHIL,SHLF9853921,113639731,,,
382,U1536,A,1,F,2,A,1,1.51,1.5,99.4,94.7,81.5,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,3,1.53,1.52,105.9,100.6,87.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,5,1.55,1.54,104.7,99.7,86.5,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,7,1.57,1.56,107,101.4,87,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,9,1.59,1.579,106.9,101.3,86.9,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,11,1.61,1.599,107.3,102,88.6,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,13,1.63,1.619,104.1,98.9,85.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,15,1.65,1.639,104.2,99,85.3,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,17,1.67,1.659,103.6,98.6,86.3,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,19,1.69,1.679,103.9,98.9,85.7,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,21,1.71,1.699,104.3,99.3,86,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,23,1.73,1.719,96.9,92.2,80.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,25,1.75,1.738,97,92.3,79.9,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,27,1.77,1.758,107,101.3,86.9,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,29,1.79,1.778,103.7,98.2,84.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,31,1.81,1.798,107,101.4,87.6,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,33,1.83,1.818,106.6,101.3,88.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,35,1.85,1.838,99.3,94.6,82.8,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,37,1.87,1.858,92.8,88.3,75.6,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,39,1.89,1.878,92.7,88.8,79,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,41,1.91,1.897,93.6,89.1,77.9,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,43,1.93,1.917,100,95.1,82.9,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,45,1.95,1.937,105.4,100.3,87.8,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,47,1.97,1.957,105.2,100.1,87.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,49,1.99,1.977,104.9,99.7,86.5,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,51,2.01,1.997,103.5,98.2,84.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,53,2.03,2.017,102.9,97.8,84.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,55,2.05,2.037,104.9,99.7,86.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,57,2.07,2.056,107,101.4,87.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,59,2.09,2.076,105.6,99.9,85.5,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,61,2.11,2.096,103.2,97.5,82.7,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,63,2.13,2.116,102.7,97.5,83.4,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,65,2.15,2.136,104.4,99.4,86.5,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,67,2.17,2.156,102.7,98,85.8,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,69,2.19,2.176,102.6,97.4,83.8,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,71,2.21,2.196,101.6,96,81.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,73,2.23,2.215,105.5,100.2,86.7,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,75,2.25,2.235,107.5,102.3,89.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,77,2.27,2.255,106.8,101.5,87.6,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,79,2.29,2.275,104.9,99.8,86.9,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,81,2.31,2.295,107.3,102.1,88.9,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,83,2.33,2.315,108.1,102.6,89.7,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,85,2.35,2.335,109.4,104.2,91.7,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,87,2.37,2.354,108.9,103.8,91.3,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,89,2.39,2.374,104.8,100.2,89,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,91,2.41,2.394,108.5,103.5,91.4,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,93,2.43,2.414,108.7,103.5,91.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,95,2.45,2.434,113.1,107.5,95.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,97,2.47,2.454,108.4,103.2,91.4,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,99,2.49,2.474,106.1,101.2,89.6,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,101,2.51,2.494,108.9,103.6,90.6,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,103,2.53,2.513,103.9,98.9,86,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,105,2.55,2.533,102.8,97.8,84.5,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,107,2.57,2.553,101,96,82.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,109,2.59,2.573,103.4,98.2,84.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,111,2.61,2.593,104.5,99.3,85.3,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,113,2.63,2.613,102.8,97.8,84.4,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,115,2.65,2.633,104.9,100.3,87.7,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,117,2.67,2.653,110.6,105.5,92.8,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,119,2.69,2.672,107.8,102.6,90.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,121,2.71,2.692,104,98.9,86.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,123,2.73,2.712,104.1,99.1,86.9,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,125,2.75,2.732,102.1,97.3,85.1,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,127,2.77,2.752,102,97.2,85.4,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,129,2.79,2.772,103.2,98.3,86.3,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,131,2.81,2.792,103.1,98.2,86.4,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,133,2.83,2.812,102.6,97.8,85.6,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,135,2.85,2.831,103.2,98.2,86.3,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,137,2.87,2.851,101.7,97,84.9,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,139,2.89,2.871,97.4,92.9,81.2,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,141,2.91,2.891,92.9,88.6,78,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,143,2.93,2.911,98,93.9,84,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,145,2.95,2.931,106.2,101.7,90.8,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,147,2.97,2.951,104.6,100,88.7,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,149,2.99,2.971,100.7,96.4,85.6,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,151,3.01,2.99,101.4,96.6,85.7,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,153,3.03,3.01,123.2,111.7,102.5,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,155,3.05,3.03,154.6,149.8,152.7,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,2,A,157,3.07,3.05,163.8,159,161.5,4/9/2019 17:02,CV-L107C-L170542B,SHIL,SHLF9853951,113639781,,,
382,U1536,A,1,F,3,A,1,3.09,3.07,86.9,83,72.6,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,3,3.11,3.09,103.1,98.7,87.4,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,5,3.13,3.11,103.7,99.5,88.5,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,7,3.15,3.13,106.9,102.3,90.5,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,9,3.17,3.149,108.8,104,91.4,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,11,3.19,3.169,108.4,103.3,90.3,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,13,3.21,3.189,104.4,99.6,86.6,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,15,3.23,3.209,108.1,103,90.5,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,17,3.25,3.229,108.9,103.7,91.2,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,19,3.27,3.249,107.2,102.2,89.7,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,21,3.29,3.269,108.5,103.9,92.8,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,23,3.31,3.288,107.6,102.9,90.9,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,25,3.33,3.308,108.1,102.8,89.6,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,27,3.35,3.328,105.1,99.6,85.5,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,29,3.37,3.348,108.3,102.5,88.4,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,31,3.39,3.368,106.4,100.8,86.9,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,33,3.41,3.388,104.6,99.2,85.4,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,35,3.43,3.408,104.7,99.1,85.2,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
382,U1536,A,1,F,3,A,37,3.45,3.427,106.5,101.3,88.2,4/9/2019 17:14,CV-L107C-L170542B,SHIL,SHLF9853981,113640281,,,
